Date,Total Q cms,SP,w_est,unit_SP
2017-07-09,3.822768,185.631702696,32.5629318788478,5.7007060478047
2017-07-10,3.822768,185.631702696,32.5629318788478,5.7007060478047
2017-07-11,3.822768,185.631702696,32.5629318788478,5.7007060478047
2017-03-03,3.7944512,184.2566530464,32.4565798660557,5.67702000046846
2017-07-12,3.7944512,184.2566530464,32.4565798660557,5.67702000046846
2017-07-02,3.7661344,182.8816033968,32.3497824617785,5.65325604933746
2017-07-03,3.7661344,182.8816033968,32.3497824617785,5.65325604933746
2017-07-04,3.7661344,182.8816033968,32.3497824617785,5.65325604933746
2017-07-07,3.7661344,182.8816033968,32.3497824617785,5.65325604933746
2017-07-08,3.7661344,182.8816033968,32.3497824617785,5.65325604933746
2017-07-13,3.7661344,182.8816033968,32.3497824617785,5.65325604933746
2017-07-14,3.7661344,182.8816033968,32.3497824617785,5.65325604933746
2017-07-16,3.7661344,182.8816033968,32.3497824617785,5.65325604933746
2017-07-05,3.7378176,181.5065537472,32.2425344307632,5.6294133495294
2017-07-17,3.7378176,181.5065537472,32.2425344307632,5.6294133495294
2017-06-09,3.7095008,180.1315040976,32.1348304360066,5.605491040518
2017-06-19,3.7095008,180.1315040976,32.1348304360066,5.605491040518
2017-06-30,3.7095008,180.1315040976,32.1348304360066,5.605491040518
2017-07-01,3.7095008,180.1315040976,32.1348304360066,5.605491040518
2017-07-06,3.7095008,180.1315040976,32.1348304360066,5.605491040518
2017-07-15,3.7095008,180.1315040976,32.1348304360066,5.605491040518
2017-06-29,3.681184,178.756454448,32.0266650359835,5.58148824572144
2017-01-13,3.6528672,177.3814047984,31.9180326817789,5.55740407207686
2017-07-18,3.5962336,174.6313054992,31.6993443602859,5.50898793092972
2017-06-08,3.5396,171.8812062,31.4787188168471,5.46023512583399
2017-06-28,3.5396,171.8812062,31.4787188168471,5.46023512583399
2017-03-04,3.5112832,170.5061565504,31.3676644853667,5.4357300534741
2017-06-20,3.5112832,170.5061565504,31.3676644853667,5.4357300534741
2017-06-25,3.4829664,169.1311069008,31.2561074769988,5.4111378720227
2017-06-21,3.4546496,167.7560572512,31.1440414016534,5.38645755981734
2017-06-23,3.4546496,167.7560572512,31.1440414016534,5.38645755981734
2017-06-24,3.4546496,167.7560572512,31.1440414016534,5.38645755981734
2017-06-26,3.4546496,167.7560572512,31.1440414016534,5.38645755981734
2017-06-01,3.4263328,166.3810076016,31.0314597348412,5.36168807472478
2017-06-07,3.4263328,166.3810076016,31.0314597348412,5.36168807472478
2017-06-22,3.4263328,166.3810076016,31.0314597348412,5.36168807472478
2017-06-05,3.398016,165.005957952,30.9183558137097,5.33682835355797
2017-06-27,3.398016,165.005957952,30.9183558137097,5.33682835355797
2017-06-06,3.3696992,163.6309083024,30.8047228329292,5.31187731147134
2017-06-04,3.3130656,160.8808090032,30.5758417329135,5.26169681307643
2017-01-25,3.2847488,159.5057593536,30.4605792513425,5.23646507301958
2017-05-31,3.2847488,159.5057593536,30.4605792513425,5.23646507301958
2015-07-20,3.256432,158.130709704,30.3447589760465,5.21113744316852
2017-03-05,3.2281152,156.7556600544,30.2283733217885,5.18571272048606
2017-07-19,3.114848,151.255461456,29.757019118981,5.08301792095564
2017-05-28,3.0582144,148.5053621568,29.5177394505404,5.0310547122226
2017-05-30,3.0582144,148.5053621568,29.5177394505404,5.0310547122226
2017-06-03,3.0582144,148.5053621568,29.5177394505404,5.0310547122226
2017-03-06,2.9449472,143.0051635584,29.0316227518805,4.92584120359365
2017-05-29,2.9449472,143.0051635584,29.0316227518805,4.92584120359365
2016-03-07,2.9166304,141.6301139088,28.9084643063055,4.89926107482326
2016-03-11,2.9166304,141.6301139088,28.9084643063055,4.89926107482326
2017-01-26,2.8883136,140.2550642592,28.7846344243025,4.87256715481453
2017-05-27,2.83168,137.50496496,28.5349188988751,4.81883146215708
2017-06-02,2.80619488,136.26742027536,28.4216345239908,4.79449625461676
2017-07-20,2.73540288,132.82979615136,28.1038991394032,4.72638317880686
2017-03-07,2.7325712,132.6922911864,28.0910944791367,4.7236426222179
2018-01-10,2.72124448,132.14227132656,28.0398013891747,4.71266787850988
2017-01-27,2.67027424,129.66718195728,27.8074898487082,4.66303081158201
2017-02-03,2.55134368,123.89197342896,27.2555876759416,4.54556235961548
2017-01-28,2.54284864,123.47945853408,27.215619889542,4.53708050873862
2017-01-29,2.54001696,123.34195356912,27.2022806816039,4.53425045542349
2017-03-08,2.5343536,123.0669436392,27.1755772602808,4.52858618091148
2017-05-26,2.52302688,122.51692377936,27.1220699881608,4.51724089764684
2017-01-30,2.47488832,120.17933937504,26.8931499198091,4.46877140585595
2017-01-31,2.45789824,119.35430958528,26.811759900264,4.45156565735562
2017-02-01,2.4494032,118.9417946904,26.7709467267376,4.44294316164793
2016-12-16,2.42674976,117.84175497072,26.6617225183027,4.41988528272411
2017-02-02,2.406928,116.879220216,26.5656820103944,4.39963183216107
2016-02-01,2.39843296,116.46670532112,26.5243862243366,4.39092932579378
2017-02-07,2.37011616,115.09165567152,26.3861388863259,4.36182255264199
2017-03-09,2.33330432,113.30409112704,26.2050272525695,4.32375398945368
